#Om_m =              Om_b =              Om_l =              Om_r =               n_s =             h_100 =                w0 =                w1 =            sigma8 = powerspectrum modus:                    
2.6480000000e-01    4.4800000000e-02    7.3511530166e-01    8.4698336485e-05    9.6300000000e-01    7.1000000000e-01   -1.0000000000e+00    0.0000000000e+00    8.0100000000e-01                   1
#z =                 a = 
1.1550478765e-01    8.9645513948e-01
1.1632588388e-01    8.9579576577e-01
1.1714728267e-01    8.9513711890e-01
1.1796898447e-01    8.9447919745e-01
1.1879098973e-01    8.9382199998e-01
1.1961329890e-01    8.9316552508e-01
1.2043591241e-01    8.9250977135e-01
1.2125883073e-01    8.9185473737e-01
1.2208205429e-01    8.9120042173e-01
1.2290558354e-01    8.9054682304e-01
1.2372941894e-01    8.8989393989e-01
1.2455356094e-01    8.8924177090e-01
1.2537800998e-01    8.8859031466e-01
1.2620276651e-01    8.8793956980e-01
1.2702783099e-01    8.8728953492e-01
1.2785320387e-01    8.8664020864e-01
1.2867888560e-01    8.8599158960e-01
1.2950487663e-01    8.8534367641e-01
1.3033117741e-01    8.8469646771e-01
1.3115778840e-01    8.8404996213e-01
1.3198471006e-01    8.8340415830e-01
1.3281194283e-01    8.8275905487e-01
1.3363948718e-01    8.8211465048e-01
1.3446734355e-01    8.8147094377e-01
1.3529551241e-01    8.8082793340e-01
1.3612399421e-01    8.8018561803e-01
1.3695278941e-01    8.7954399630e-01
1.3778189846e-01    8.7890306688e-01
1.3861132183e-01    8.7826282844e-01
1.3944105997e-01    8.7762327963e-01
1.4027111334e-01    8.7698441914e-01
1.4110148240e-01    8.7634624564e-01
1.4193216762e-01    8.7570875780e-01
1.4276316944e-01    8.7507195431e-01
1.4359448834e-01    8.7443583385e-01
1.4442612478e-01    8.7380039510e-01
1.4525807921e-01    8.7316563677e-01
1.4609035210e-01    8.7253155754e-01
1.4692294392e-01    8.7189815611e-01
1.4775585512e-01    8.7126543118e-01
1.4858908618e-01    8.7063338145e-01
1.4942263755e-01    8.7000200565e-01
1.5025650970e-01    8.6937130246e-01
1.5109070310e-01    8.6874127061e-01
1.5192521821e-01    8.6811190882e-01
1.5276005550e-01    8.6748321581e-01
1.5359521544e-01    8.6685519029e-01
1.5443069850e-01    8.6622783100e-01
1.5526650514e-01    8.6560113666e-01
1.5610263584e-01    8.6497510602e-01
1.5693909105e-01    8.6434973780e-01
1.5777587126e-01    8.6372503074e-01
1.5861297693e-01    8.6310098360e-01
1.5945040854e-01    8.6247759510e-01
1.6028816655e-01    8.6185486401e-01
1.6112625144e-01    8.6123278908e-01
1.6196466368e-01    8.6061136905e-01
