## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.4051e+00   1.6863e+00   2.8036e-05   1.2746e-05   2.5656e-06   1.6481e+07   1.6481e+07
  6.3458e+00   6.4002e+00   1.8551e+00  -3.6988e-05  -1.4771e-05   2.8730e-06   1.3143e+07   1.3143e+07
  7.4387e+00   7.3580e+00   1.9946e+00  -2.3829e-06   1.3070e-06   2.0672e-06   2.5387e+07   2.5387e+07
  8.7198e+00   8.7747e+00   2.1710e+00  -2.4875e-05  -3.0575e-06   1.7669e-06   3.4750e+07   3.4750e+07
  1.0222e+01   1.0332e+01   2.3344e+00  -3.1024e-05  -3.3087e-06   1.5587e-06   4.4649e+07   4.4649e+07
  1.1982e+01   1.2074e+01   2.4903e+00  -2.7686e-05   8.2008e-06   1.3437e-06   6.0083e+07   6.0083e+07
  1.4046e+01   1.4085e+01   2.6443e+00  -4.7607e-05  -7.6862e-06   1.1608e-06   8.0510e+07   8.0510e+07
  1.6465e+01   1.6527e+01   2.8040e+00  -6.0847e-05   4.1383e-06   9.4918e-07   1.2041e+08   1.2041e+08
  1.9300e+01   1.9445e+01   2.9667e+00  -1.1644e-04   1.0973e-06   8.2471e-07   1.5950e+08   1.5950e+08
  2.2624e+01   2.2780e+01   3.1250e+00  -1.7356e-04  -3.6867e-07   7.0540e-07   2.1802e+08   2.1802e+08
  2.6520e+01   2.6655e+01   3.2821e+00  -2.1085e-04   2.3696e-06   6.0788e-07   2.9358e+08   2.9358e+08
  3.1088e+01   3.1227e+01   3.4404e+00  -2.4158e-04   7.7787e-07   5.1280e-07   4.1255e+08   4.1255e+08
  3.6442e+01   3.6618e+01   3.5997e+00  -2.5961e-04   3.3387e-07   4.3973e-07   5.6103e+08   5.6103e+08
  4.2718e+01   4.2912e+01   3.7582e+00  -2.7676e-04   2.0728e-06   3.7508e-07   7.7111e+08   7.7111e+08
  5.0075e+01   5.0316e+01   3.9174e+00  -2.8192e-04   1.9763e-06   3.1963e-07   1.0619e+09   1.0619e+09
  5.8699e+01   5.9002e+01   4.0766e+00  -2.7266e-04   2.0930e-06   2.7335e-07   1.4518e+09   1.4518e+09
  6.8809e+01   6.9167e+01   4.2356e+00  -2.6674e-04   2.1873e-06   2.3342e-07   1.9910e+09   1.9910e+09
  8.0659e+01   8.1070e+01   4.3944e+00  -2.5445e-04   3.0564e-06   1.9977e-07   2.7185e+09   2.7185e+09
  9.4551e+01   9.5020e+01   4.5531e+00  -2.3843e-04   4.8965e-06   1.7058e-07   3.7281e+09   3.7281e+09
  1.1083e+02   1.1139e+02   4.7121e+00  -2.2530e-04   6.3619e-06   1.4586e-07   5.0992e+09   5.0992e+09
