## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.4059e+00   1.6865e+00   4.7555e-05  -4.7201e-05   2.6150e-06   1.5865e+07   1.5865e+07
  6.3458e+00   6.3806e+00   1.8521e+00   1.4898e-05   4.7987e-05   2.8249e-06   1.3594e+07   1.3594e+07
  7.4387e+00   7.3685e+00   1.9960e+00   4.1998e-05  -1.4514e-05   2.0684e-06   2.5358e+07   2.5358e+07
  8.7198e+00   8.7711e+00   2.1706e+00   3.8597e-05   7.5369e-06   1.7763e-06   3.4383e+07   3.4383e+07
  1.0222e+01   1.0321e+01   2.3334e+00   7.2418e-05  -2.6693e-06   1.5595e-06   4.4606e+07   4.4606e+07
  1.1982e+01   1.2066e+01   2.4896e+00   1.0492e-04  -1.2019e-06   1.3448e-06   5.9982e+07   5.9982e+07
  1.4046e+01   1.4088e+01   2.6445e+00   1.2478e-04  -2.0938e-06   1.1557e-06   8.1228e+07   8.1228e+07
  1.6465e+01   1.6532e+01   2.8043e+00   1.9905e-04   1.1184e-07   9.5201e-07   1.1970e+08   1.1970e+08
  1.9300e+01   1.9440e+01   2.9664e+00   3.1288e-04  -3.7472e-06   8.2573e-07   1.5911e+08   1.5911e+08
  2.2624e+01   2.2774e+01   3.1247e+00   4.4057e-04  -1.5814e-06   7.0588e-07   2.1772e+08   2.1772e+08
  2.6520e+01   2.6655e+01   3.2821e+00   4.7554e-04  -1.8298e-06   6.0733e-07   2.9411e+08   2.9411e+08
  3.1088e+01   3.1231e+01   3.4405e+00   4.7491e-04  -2.2109e-06   5.1327e-07   4.1179e+08   4.1179e+08
  3.6442e+01   3.6617e+01   3.5996e+00   4.6044e-04  -3.1588e-06   4.4013e-07   5.6002e+08   5.6002e+08
  4.2718e+01   4.2910e+01   3.7582e+00   4.3800e-04  -2.9696e-06   3.7528e-07   7.7027e+08   7.7027e+08
  5.0075e+01   5.0316e+01   3.9174e+00   4.1350e-04  -2.3188e-06   3.1977e-07   1.0609e+09   1.0609e+09
  5.8699e+01   5.9002e+01   4.0767e+00   3.8952e-04  -3.2217e-06   2.7353e-07   1.4500e+09   1.4500e+09
  6.8809e+01   6.9166e+01   4.2356e+00   3.6545e-04  -3.2448e-06   2.3361e-07   1.9879e+09   1.9879e+09
  8.0659e+01   8.1070e+01   4.3944e+00   3.3309e-04  -4.0069e-06   1.9990e-07   2.7149e+09   2.7149e+09
  9.4551e+01   9.5021e+01   4.5532e+00   3.0145e-04  -4.0715e-06   1.7070e-07   3.7229e+09   3.7229e+09
  1.1083e+02   1.1139e+02   4.7121e+00   2.7531e-04  -5.9452e-06   1.4594e-07   5.0932e+09   5.0932e+09
