## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.4062e+00   1.6865e+00   4.1172e-05   1.6480e-06   2.5904e-06   1.6167e+07   1.6167e+07
  6.3458e+00   6.3904e+00   1.8536e+00  -4.5240e-05   1.4740e-06   2.8390e-06   1.3460e+07   1.3460e+07
  7.4387e+00   7.3664e+00   1.9957e+00   6.1975e-06   6.9534e-06   2.0710e-06   2.5293e+07   2.5293e+07
  8.7198e+00   8.7728e+00   2.1708e+00  -3.0837e-05  -1.2233e-05   1.7734e-06   3.4494e+07   3.4494e+07
  1.0222e+01   1.0325e+01   2.3338e+00  -2.7057e-05   1.1414e-06   1.5596e-06   4.4598e+07   4.4598e+07
  1.1982e+01   1.2068e+01   2.4898e+00  -3.4382e-05   4.0535e-06   1.3462e-06   5.9865e+07   5.9865e+07
  1.4046e+01   1.4086e+01   2.6443e+00  -5.2991e-05  -3.3654e-06   1.1578e-06   8.0926e+07   8.0926e+07
  1.6465e+01   1.6529e+01   2.8042e+00  -6.0571e-05   2.8771e-06   9.5150e-07   1.1982e+08   1.1982e+08
  1.9300e+01   1.9442e+01   2.9665e+00  -7.9102e-05   1.6793e-06   8.2567e-07   1.5913e+08   1.5913e+08
  2.2624e+01   2.2777e+01   3.1248e+00  -1.0352e-04   1.6727e-06   7.0620e-07   2.1752e+08   2.1752e+08
  2.6520e+01   2.6655e+01   3.2821e+00  -1.0353e-04   7.1719e-07   6.0791e-07   2.9356e+08   2.9356e+08
  3.1088e+01   3.1229e+01   3.4404e+00  -9.8573e-05  -9.1012e-07   5.1345e-07   4.1149e+08   4.1149e+08
  3.6442e+01   3.6618e+01   3.5996e+00  -8.6358e-05   5.7490e-07   4.4009e-07   5.6012e+08   5.6012e+08
  4.2718e+01   4.2913e+01   3.7583e+00  -6.8308e-05   9.1506e-07   3.7537e-07   7.6990e+08   7.6990e+08
  5.0075e+01   5.0317e+01   3.9174e+00  -5.9786e-05   7.5853e-07   3.1994e-07   1.0598e+09   1.0598e+09
  5.8699e+01   5.9002e+01   4.0767e+00  -5.3860e-05   6.1682e-07   2.7361e-07   1.4492e+09   1.4492e+09
  6.8809e+01   6.9166e+01   4.2356e+00  -3.8565e-05   6.5998e-07   2.3370e-07   1.9863e+09   1.9863e+09
  8.0659e+01   8.1070e+01   4.3944e+00  -3.1686e-05   3.2313e-07   1.9998e-07   2.7125e+09   2.7125e+09
  9.4551e+01   9.5020e+01   4.5532e+00  -2.9544e-05  -3.2679e-07   1.7078e-07   3.7195e+09   3.7195e+09
  1.1083e+02   1.1139e+02   4.7121e+00  -3.0792e-05  -5.0176e-07   1.4600e-07   5.0893e+09   5.0893e+09
