## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.3950e+00   1.6845e+00  -2.9896e-06  -1.7300e-06   8.7137e-07   2.0083e+08   2.0083e+08
  6.3458e+00   6.3513e+00   1.8476e+00  -1.0854e-05  -7.3458e-06   7.4068e-07   2.7795e+08   2.7795e+08
  7.4387e+00   7.4740e+00   2.0104e+00  -8.8186e-06   7.9119e-06   6.2110e-07   3.9528e+08   3.9528e+08
  8.7198e+00   8.7749e+00   2.1710e+00  -2.6964e-05  -2.2684e-06   5.5072e-07   5.0277e+08   5.0277e+08
  1.0222e+01   1.0245e+01   2.3259e+00  -2.7398e-05   8.1857e-07   4.6646e-07   7.0081e+08   7.0081e+08
  1.1982e+01   1.2034e+01   2.4868e+00  -3.7765e-05   1.6225e-07   3.8975e-07   1.0038e+09   1.0038e+09
  1.4046e+01   1.4116e+01   2.6464e+00  -4.9145e-05   1.6597e-06   3.3873e-07   1.3289e+09   1.3289e+09
  1.6465e+01   1.6534e+01   2.8045e+00  -6.5186e-05   1.6852e-07   2.8802e-07   1.8381e+09   1.8381e+09
  1.9300e+01   1.9397e+01   2.9642e+00  -8.8513e-05   1.3258e-06   2.4415e-07   2.5582e+09   2.5582e+09
  2.2624e+01   2.2746e+01   3.1235e+00  -1.0587e-04   1.0896e-06   2.0974e-07   3.4663e+09   3.4663e+09
  2.6520e+01   2.6659e+01   3.2822e+00  -9.9974e-05   1.0729e-06   1.7864e-07   4.7781e+09   4.7781e+09
  3.1088e+01   3.1255e+01   3.4413e+00  -8.8006e-05   6.9162e-07   1.5246e-07   6.5600e+09   6.5600e+09
  3.6442e+01   3.6632e+01   3.6000e+00  -8.1563e-05   4.0041e-07   1.3040e-07   8.9677e+09   8.9677e+09
  4.2718e+01   4.2933e+01   3.7587e+00  -6.6305e-05   3.1857e-07   1.1123e-07   1.2325e+10   1.2325e+10
  5.0075e+01   5.0333e+01   3.9177e+00  -5.7201e-05   2.2860e-07   9.4919e-08   1.6925e+10   1.6925e+10
  5.8699e+01   5.9004e+01   4.0767e+00  -5.0105e-05   3.0498e-08   8.1135e-08   2.3164e+10   2.3164e+10
  6.8809e+01   6.9162e+01   4.2355e+00  -3.3495e-05   8.0086e-08   6.9316e-08   3.1737e+10   3.1737e+10
  8.0659e+01   8.1072e+01   4.3944e+00  -3.0030e-05   8.2056e-08   5.9230e-08   4.3465e+10   4.3465e+10
  9.4551e+01   9.5035e+01   4.5533e+00  -3.7295e-05  -5.0770e-07   5.0627e-08   5.9492e+10   5.9492e+10
  1.1083e+02   1.1140e+02   4.7122e+00  -3.7336e-05  -9.8823e-07   4.3290e-08   8.1367e+10   8.1367e+10
