## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.4053e+00   1.6864e+00   3.2444e-05   1.2026e-05   2.5831e-06   1.6259e+07   1.6259e+07
  6.3458e+00   6.3909e+00   1.8537e+00  -3.2672e-05  -4.3501e-06   2.8517e-06   1.3340e+07   1.3340e+07
  7.4387e+00   7.3637e+00   1.9954e+00  -6.2277e-07   5.3339e-06   2.0678e-06   2.5372e+07   2.5372e+07
  8.7198e+00   8.7744e+00   2.1710e+00  -2.6608e-05  -1.2009e-05   1.7717e-06   3.4561e+07   3.4561e+07
  1.0222e+01   1.0328e+01   2.3340e+00  -2.2396e-05   3.2100e-06   1.5598e-06   4.4588e+07   4.4588e+07
  1.1982e+01   1.2069e+01   2.4899e+00  -2.3948e-05   6.0669e-06   1.3465e-06   5.9832e+07   5.9832e+07
  1.4046e+01   1.4084e+01   2.6442e+00  -5.1193e-05  -6.4530e-06   1.1588e-06   8.0794e+07   8.0794e+07
  1.6465e+01   1.6528e+01   2.8041e+00  -6.9279e-05   2.8912e-06   9.5074e-07   1.2002e+08   1.2002e+08
  1.9300e+01   1.9443e+01   2.9666e+00  -1.2120e-04   1.7255e-06   8.2547e-07   1.5921e+08   1.5921e+08
  2.2624e+01   2.2778e+01   3.1249e+00  -1.8069e-04   1.3503e-06   7.0599e-07   2.1765e+08   2.1765e+08
  2.6520e+01   2.6656e+01   3.2821e+00  -1.9730e-04   1.0763e-06   6.0795e-07   2.9352e+08   2.9352e+08
  3.1088e+01   3.1228e+01   3.4404e+00  -1.9558e-04  -1.0133e-07   5.1332e-07   4.1170e+08   4.1170e+08
  3.6442e+01   3.6618e+01   3.5996e+00  -1.7782e-04   5.3503e-07   4.3989e-07   5.6064e+08   5.6064e+08
  4.2718e+01   4.2913e+01   3.7583e+00  -1.6011e-04   1.8947e-06   3.7520e-07   7.7063e+08   7.7063e+08
  5.0075e+01   5.0317e+01   3.9174e+00  -1.4213e-04   7.2367e-07   3.1979e-07   1.0608e+09   1.0608e+09
  5.8699e+01   5.9002e+01   4.0766e+00  -1.4005e-04   1.2679e-06   2.7345e-07   1.4508e+09   1.4508e+09
  6.8809e+01   6.9166e+01   4.2356e+00  -1.2726e-04   1.5979e-06   2.3355e-07   1.9889e+09   1.9889e+09
  8.0659e+01   8.1070e+01   4.3944e+00  -1.1498e-04   1.6913e-06   1.9985e-07   2.7161e+09   2.7161e+09
  9.4551e+01   9.5020e+01   4.5532e+00  -1.0792e-04   1.9115e-06   1.7066e-07   3.7247e+09   3.7247e+09
  1.1083e+02   1.1139e+02   4.7121e+00  -1.0772e-04   2.4382e-06   1.4589e-07   5.0971e+09   5.0971e+09
