## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.4056e+00   1.6864e+00   4.2394e-05  -2.6150e-05   2.5993e-06   1.6056e+07   1.6056e+07
  6.3458e+00   6.3892e+00   1.8534e+00  -3.0121e-05   1.7604e-05   2.8303e-06   1.3543e+07   1.3543e+07
  7.4387e+00   7.3670e+00   1.9958e+00   1.0729e-05  -1.1433e-06   2.0726e-06   2.5253e+07   2.5253e+07
  8.7198e+00   8.7722e+00   2.1707e+00  -1.6852e-05  -2.3156e-06   1.7734e-06   3.4494e+07   3.4494e+07
  1.0222e+01   1.0325e+01   2.3337e+00   6.4854e-07   3.7561e-07   1.5598e-06   4.4589e+07   4.4589e+07
  1.1982e+01   1.2067e+01   2.4897e+00   7.4507e-06   8.4133e-07   1.3459e-06   5.9885e+07   5.9885e+07
  1.4046e+01   1.4087e+01   2.6444e+00   2.9066e-07  -2.6617e-06   1.1570e-06   8.1045e+07   8.1045e+07
  1.6465e+01   1.6530e+01   2.8042e+00   1.1228e-05   9.8523e-07   9.5195e-07   1.1971e+08   1.1971e+08
  1.9300e+01   1.9440e+01   2.9664e+00   1.9911e-05   4.3755e-07   8.2599e-07   1.5901e+08   1.5901e+08
  2.2624e+01   2.2775e+01   3.1247e+00   3.4077e-05   1.1396e-07   7.0601e-07   2.1764e+08   2.1764e+08
  2.6520e+01   2.6655e+01   3.2821e+00   4.8418e-05   1.3034e-06   6.0779e-07   2.9367e+08   2.9367e+08
  3.1088e+01   3.1230e+01   3.4405e+00   6.2022e-05  -8.2519e-07   5.1356e-07   4.1133e+08   4.1133e+08
  3.6442e+01   3.6618e+01   3.5996e+00   7.6892e-05  -1.5035e-07   4.4025e-07   5.5972e+08   5.5972e+08
  4.2718e+01   4.2912e+01   3.7582e+00   8.1404e-05   2.4800e-07   3.7546e-07   7.6955e+08   7.6955e+08
  5.0075e+01   5.0317e+01   3.9174e+00   8.8195e-05  -5.3587e-07   3.2001e-07   1.0594e+09   1.0594e+09
  5.8699e+01   5.9002e+01   4.0767e+00   9.3207e-05  -9.5913e-07   2.7371e-07   1.4481e+09   1.4481e+09
  6.8809e+01   6.9166e+01   4.2356e+00   8.7357e-05  -7.2674e-07   2.3377e-07   1.9851e+09   1.9851e+09
  8.0659e+01   8.1070e+01   4.3944e+00   8.4898e-05  -1.6422e-06   2.0005e-07   2.7107e+09   2.7107e+09
  9.4551e+01   9.5021e+01   4.5532e+00   8.4378e-05  -2.0647e-06   1.7083e-07   3.7175e+09   3.7175e+09
  1.1083e+02   1.1139e+02   4.7121e+00   9.3195e-05  -2.8056e-06   1.4604e-07   5.0868e+09   5.0868e+09
