## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.3938e+00   1.6843e+00  -5.4701e-06   3.7779e-06   8.7102e-07   2.0099e+08   2.0099e+08
  6.3458e+00   6.3503e+00   1.8475e+00  -1.2361e-05  -8.4367e-06   7.4088e-07   2.7780e+08   2.7780e+08
  7.4387e+00   7.4736e+00   2.0103e+00  -9.4748e-06   7.5789e-06   6.2063e-07   3.9588e+08   3.9588e+08
  8.7198e+00   8.7756e+00   2.1711e+00  -1.9688e-05  -3.3898e-06   5.5060e-07   5.0298e+08   5.0298e+08
  1.0222e+01   1.0246e+01   2.3259e+00  -1.9882e-05   1.3467e-06   4.6648e-07   7.0075e+08   7.0075e+08
  1.1982e+01   1.2034e+01   2.4868e+00  -2.7213e-05   2.1955e-06   3.8971e-07   1.0040e+09   1.0040e+09
  1.4046e+01   1.4116e+01   2.6464e+00  -4.3708e-05  -1.8221e-07   3.3873e-07   1.3290e+09   1.3290e+09
  1.6465e+01   1.6534e+01   2.8045e+00  -6.5812e-05   3.9454e-07   2.8793e-07   1.8393e+09   1.8393e+09
  1.9300e+01   1.9397e+01   2.9642e+00  -1.1303e-04   3.7739e-07   2.4409e-07   2.5594e+09   2.5594e+09
  2.2624e+01   2.2746e+01   3.1235e+00  -1.7047e-04   8.4165e-07   2.0967e-07   3.4685e+09   3.4685e+09
  2.6520e+01   2.6659e+01   3.2822e+00  -1.9167e-04   9.6206e-07   1.7860e-07   4.7806e+09   4.7806e+09
  3.1088e+01   3.1255e+01   3.4413e+00  -1.9093e-04   4.0329e-07   1.5241e-07   6.5647e+09   6.5647e+09
  3.6442e+01   3.6632e+01   3.6000e+00  -1.7204e-04   4.8557e-07   1.3035e-07   8.9742e+09   8.9742e+09
  4.2718e+01   4.2933e+01   3.7587e+00  -1.5399e-04   5.6665e-07   1.1119e-07   1.2334e+10   1.2334e+10
  5.0075e+01   5.0333e+01   3.9177e+00  -1.4167e-04   1.1042e-06   9.4878e-08   1.6939e+10   1.6939e+10
  5.8699e+01   5.9004e+01   4.0767e+00  -1.3953e-04   1.4288e-06   8.1097e-08   2.3186e+10   2.3186e+10
  6.8809e+01   6.9162e+01   4.2355e+00  -1.3303e-04   1.7011e-06   6.9280e-08   3.1769e+10   3.1769e+10
  8.0659e+01   8.1072e+01   4.3944e+00  -1.2096e-04   1.8797e-06   5.9197e-08   4.3514e+10   4.3514e+10
  9.4551e+01   9.5035e+01   4.5533e+00  -1.0436e-04   1.9123e-06   5.0599e-08   5.9559e+10   5.9559e+10
  1.1083e+02   1.1140e+02   4.7122e+00  -1.0468e-04   2.3351e-06   4.3266e-08   8.1458e+10   8.1458e+10
