## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.3961e+00   1.6847e+00  -1.3306e-07  -4.3807e-06   8.7062e-07   2.0117e+08   2.0117e+08
  6.3458e+00   6.3522e+00   1.8478e+00  -2.9194e-06  -4.3528e-06   7.4082e-07   2.7785e+08   2.7785e+08
  7.4387e+00   7.4743e+00   2.0104e+00  -7.8062e-07   6.0063e-06   6.2127e-07   3.9506e+08   3.9506e+08
  8.7198e+00   8.7747e+00   2.1710e+00  -4.7168e-06  -5.7004e-07   5.5057e-07   5.0304e+08   5.0304e+08
  1.0222e+01   1.0246e+01   2.3260e+00   5.4920e-06   8.4938e-07   4.6613e-07   7.0181e+08   7.0181e+08
  1.1982e+01   1.2035e+01   2.4868e+00   8.0593e-06  -1.0867e-06   3.8986e-07   1.0033e+09   1.0033e+09
  1.4046e+01   1.4117e+01   2.6465e+00   9.1078e-06   1.1483e-06   3.3863e-07   1.3297e+09   1.3297e+09
  1.6465e+01   1.6535e+01   2.8046e+00   1.3194e-05  -1.2961e-06   2.8798e-07   1.8387e+09   1.8387e+09
  1.9300e+01   1.9397e+01   2.9642e+00   1.8284e-05   2.7376e-07   2.4417e-07   2.5577e+09   2.5577e+09
  2.2624e+01   2.2745e+01   3.1235e+00   3.6488e-05  -1.6392e-07   2.0970e-07   3.4677e+09   3.4677e+09
  2.6520e+01   2.6659e+01   3.2822e+00   4.9400e-05   1.0551e-07   1.7864e-07   4.7783e+09   4.7783e+09
  3.1088e+01   3.1255e+01   3.4413e+00   6.3542e-05   6.5105e-08   1.5247e-07   6.5589e+09   6.5589e+09
  3.6442e+01   3.6632e+01   3.6000e+00   7.7564e-05   2.7049e-07   1.3041e-07   8.9668e+09   8.9668e+09
  4.2718e+01   4.2933e+01   3.7587e+00   8.4918e-05   1.3789e-07   1.1124e-07   1.2322e+10   1.2322e+10
  5.0075e+01   5.0332e+01   3.9177e+00   8.9800e-05  -3.1488e-07   9.4930e-08   1.6921e+10   1.6921e+10
  5.8699e+01   5.9004e+01   4.0767e+00   9.3355e-05  -6.8408e-07   8.1146e-08   2.3158e+10   2.3158e+10
  6.8809e+01   6.9162e+01   4.2355e+00   8.2697e-05  -8.5914e-07   6.9323e-08   3.1731e+10   3.1731e+10
  8.0659e+01   8.1072e+01   4.3944e+00   7.7731e-05  -1.6260e-06   5.9232e-08   4.3462e+10   4.3462e+10
  9.4551e+01   9.5035e+01   4.5533e+00   7.8505e-05  -2.3627e-06   5.0626e-08   5.9495e+10   5.9495e+10
  1.1083e+02   1.1140e+02   4.7122e+00   8.7113e-05  -2.7968e-06   4.3288e-08   8.1375e+10   8.1375e+10
