## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.3973e+00   1.6849e+00   2.8321e-05  -1.0692e-05   8.7033e-07   2.0131e+08   2.0131e+08
  6.3458e+00   6.3519e+00   1.8477e+00   2.7566e-05   1.6223e-06   7.4160e-07   2.7726e+08   2.7726e+08
  7.4387e+00   7.4738e+00   2.0104e+00   4.0973e-05   4.9168e-07   6.2101e-07   3.9540e+08   3.9540e+08
  8.7198e+00   8.7737e+00   2.1709e+00   5.0318e-05   3.5178e-06   5.5079e-07   5.0265e+08   5.0265e+08
  1.0222e+01   1.0246e+01   2.3260e+00   7.3452e-05  -2.7928e-06   4.6573e-07   7.0300e+08   7.0300e+08
  1.1982e+01   1.2034e+01   2.4868e+00   1.0046e-04  -5.2138e-07   3.9001e-07   1.0025e+09   1.0025e+09
  1.4046e+01   1.4116e+01   2.6464e+00   1.3686e-04  -1.0590e-06   3.3842e-07   1.3314e+09   1.3314e+09
  1.6465e+01   1.6535e+01   2.8046e+00   1.9688e-04  -1.3893e-06   2.8788e-07   1.8400e+09   1.8400e+09
  1.9300e+01   1.9398e+01   2.9642e+00   3.0999e-04  -2.2314e-06   2.4407e-07   2.5597e+09   2.5597e+09
  2.2624e+01   2.2746e+01   3.1235e+00   4.3942e-04  -2.5319e-06   2.0961e-07   3.4706e+09   3.4706e+09
  2.6520e+01   2.6659e+01   3.2822e+00   4.7545e-04  -2.0909e-06   1.7856e-07   4.7823e+09   4.7823e+09
  3.1088e+01   3.1255e+01   3.4413e+00   4.7528e-04  -2.3296e-06   1.5241e-07   6.5644e+09   6.5644e+09
  3.6442e+01   3.6632e+01   3.6000e+00   4.5810e-04  -2.6422e-06   1.3035e-07   8.9744e+09   8.9744e+09
  4.2718e+01   4.2933e+01   3.7587e+00   4.3402e-04  -2.4258e-06   1.1119e-07   1.2334e+10   1.2334e+10
  5.0075e+01   5.0332e+01   3.9177e+00   4.1108e-04  -2.6995e-06   9.4878e-08   1.6939e+10   1.6939e+10
  5.8699e+01   5.9004e+01   4.0767e+00   3.8971e-04  -2.7996e-06   8.1097e-08   2.3185e+10   2.3185e+10
  6.8809e+01   6.9162e+01   4.2355e+00   3.6598e-04  -3.2699e-06   6.9279e-08   3.1771e+10   3.1771e+10
  8.0659e+01   8.1072e+01   4.3944e+00   3.3593e-04  -3.4611e-06   5.9192e-08   4.3521e+10   4.3521e+10
  9.4551e+01   9.5035e+01   4.5533e+00   3.0493e-04  -3.8442e-06   5.0594e-08   5.9571e+10   5.9571e+10
  1.1083e+02   1.1140e+02   4.7122e+00   2.7685e-04  -5.3758e-06   4.3263e-08   8.1469e+10   8.1469e+10
